global_node_id,scenario_id,split,node_id,type,diagram_id,diagram_type,canonical_id,is_shared_entity,ip_address,zone
enterprise_v3_0000::APP-LB-01,enterprise_v3_0000,train,APP-LB-01,load_balancer,app_db_topology,app_db,APP-LB-01,False,10.200.1.2,App Ingress
enterprise_v3_0000::APP-01,enterprise_v3_0000,train,APP-01,server,app_db_topology,app_db,APP-01,True,10.200.1.3,App Tier
enterprise_v3_0000::APP-02,enterprise_v3_0000,train,APP-02,server,app_db_topology,app_db,APP-02,False,10.200.1.4,App Tier
enterprise_v3_0000::APP-03,enterprise_v3_0000,train,APP-03,server,app_db_topology,app_db,APP-03,False,10.200.1.5,App Tier
enterprise_v3_0000::SERVICE-API-01,enterprise_v3_0000,train,SERVICE-API-01,service,app_db_topology,app_db,SERVICE-API-01,False,10.200.1.6,App Tier
enterprise_v3_0000::DB-MASTER,enterprise_v3_0000,train,DB-MASTER,database,app_db_topology,app_db,DB-MASTER,False,10.200.1.7,DB Tier
enterprise_v3_0000::DB-CACHE-01,enterprise_v3_0000,train,DB-CACHE-01,server,app_db_topology,app_db,DB-CACHE-01,False,10.200.1.8,DB Tier
enterprise_v3_0000::DB-REPLICA-01,enterprise_v3_0000,train,DB-REPLICA-01,database,app_db_topology,app_db,DB-REPLICA-01,False,10.200.1.9,DB Tier
enterprise_v3_0000::DB-REPLICA-02,enterprise_v3_0000,train,DB-REPLICA-02,database,app_db_topology,app_db,DB-REPLICA-02,False,10.200.1.10,DB Tier
enterprise_v3_0000::IAM-01,enterprise_v3_0000,train,IAM-01,service,app_db_topology,app_db,IAM-01,True,,Shared Services
enterprise_v3_0000::DNS-01,enterprise_v3_0000,train,DNS-01,service,app_db_topology,app_db,DNS-01,True,,Shared Services
enterprise_v3_0000::AD-01,enterprise_v3_0000,train,AD-01,service,shared_services_topology,shared_services,AD-01,False,10.255.0.1,Identity
enterprise_v3_0000::NTP-01,enterprise_v3_0000,train,NTP-01,service,shared_services_topology,shared_services,NTP-01,False,10.255.0.4,DNS/NTP
enterprise_v3_0000::MON-01,enterprise_v3_0000,train,MON-01,service,shared_services_topology,shared_services,MON-01,False,10.255.0.5,Monitoring
enterprise_v3_0000::SYSLOG-01,enterprise_v3_0000,train,SYSLOG-01,server,shared_services_topology,shared_services,SYSLOG-01,False,10.255.0.6,Logging
enterprise_v3_0001::BR-RTR-01,enterprise_v3_0001,train,BR-RTR-01,router,branch_topology,branch,BR-RTR-01,True,10.1.1.1,Branch Edge
enterprise_v3_0001::BR-FW-01,enterprise_v3_0001,train,BR-FW-01,firewall,branch_topology,branch,BR-FW-01,False,10.1.1.2,Branch Edge
enterprise_v3_0001::BR-SW-01,enterprise_v3_0001,train,BR-SW-01,switch,branch_topology,branch,BR-SW-01,False,10.1.1.3,Branch LAN
enterprise_v3_0001::BR-APP-01,enterprise_v3_0001,train,BR-APP-01,server,branch_topology,branch,BR-APP-01,True,10.1.1.4,Branch Apps
enterprise_v3_0001::BR-WRK-01,enterprise_v3_0001,train,BR-WRK-01,server,branch_topology,branch,BR-WRK-01,False,10.1.1.5,Branch LAN
enterprise_v3_0001::BR-WRK-02,enterprise_v3_0001,train,BR-WRK-02,server,branch_topology,branch,BR-WRK-02,False,10.1.1.6,Branch LAN
enterprise_v3_0001::BR-WRK-03,enterprise_v3_0001,train,BR-WRK-03,server,branch_topology,branch,BR-WRK-03,False,10.1.1.7,Branch LAN
enterprise_v3_0001::WAN-MPLS-CORE,enterprise_v3_0001,train,WAN-MPLS-CORE,cloud_or_wan,branch_topology,branch,WAN-MPLS-CORE,True,,WAN
enterprise_v3_0001::WAN-ISP-01,enterprise_v3_0001,train,WAN-ISP-01,cloud_or_wan,wan_topology,wan,WAN-ISP-01,False,172.16.1.1,Internet/ISP
enterprise_v3_0001::WAN-ISP-02,enterprise_v3_0001,train,WAN-ISP-02,cloud_or_wan,wan_topology,wan,WAN-ISP-02,False,172.16.1.2,Internet/ISP
enterprise_v3_0001::WAN-PE-01,enterprise_v3_0001,train,WAN-PE-01,router,wan_topology,wan,WAN-PE-01,False,172.16.1.4,WAN PE
enterprise_v3_0001::WAN-PE-02,enterprise_v3_0001,train,WAN-PE-02,router,wan_topology,wan,WAN-PE-02,False,172.16.1.5,WAN PE
enterprise_v3_0001::DC-RTR-01,enterprise_v3_0001,train,DC-RTR-01,router,wan_topology,wan,DC-RTR-01,True,,DC Edge
enterprise_v3_0001::DC-FW-01,enterprise_v3_0001,train,DC-FW-01,firewall,wan_topology,wan,DC-FW-01,True,,DC Edge
enterprise_v3_0001::DC-FW-02,enterprise_v3_0001,train,DC-FW-02,firewall,datacenter_topology,datacenter,DC-FW-02,False,10.101.1.2,DC Edge
enterprise_v3_0001::DC-CORE-SW-01,enterprise_v3_0001,train,DC-CORE-SW-01,switch,datacenter_topology,datacenter,DC-CORE-SW-01,True,10.101.1.4,DC Core
enterprise_v3_0001::DC-CORE-SW-02,enterprise_v3_0001,train,DC-CORE-SW-02,switch,datacenter_topology,datacenter,DC-CORE-SW-02,False,10.101.1.5,DC Core
enterprise_v3_0001::DC-AGG-SW-01,enterprise_v3_0001,train,DC-AGG-SW-01,switch,datacenter_topology,datacenter,DC-AGG-SW-01,True,10.101.1.6,DC Aggregation
enterprise_v3_0001::DC-SRV-01,enterprise_v3_0001,train,DC-SRV-01,server,datacenter_topology,datacenter,DC-SRV-01,False,10.101.1.7,DC Compute
enterprise_v3_0001::DC-SRV-02,enterprise_v3_0001,train,DC-SRV-02,server,datacenter_topology,datacenter,DC-SRV-02,False,10.101.1.8,DC Compute
enterprise_v3_0001::DC-SRV-03,enterprise_v3_0001,train,DC-SRV-03,server,datacenter_topology,datacenter,DC-SRV-03,False,10.101.1.9,DC Compute
enterprise_v3_0001::APP-LB-01,enterprise_v3_0001,train,APP-LB-01,load_balancer,app_db_topology,app_db,APP-LB-01,False,10.201.1.2,App Ingress
enterprise_v3_0001::APP-01,enterprise_v3_0001,train,APP-01,server,app_db_topology,app_db,APP-01,True,10.201.1.3,App Tier
enterprise_v3_0001::APP-02,enterprise_v3_0001,train,APP-02,server,app_db_topology,app_db,APP-02,False,10.201.1.4,App Tier
enterprise_v3_0001::SERVICE-API-01,enterprise_v3_0001,train,SERVICE-API-01,service,app_db_topology,app_db,SERVICE-API-01,False,10.201.1.5,App Tier
enterprise_v3_0001::DB-MASTER,enterprise_v3_0001,train,DB-MASTER,database,app_db_topology,app_db,DB-MASTER,False,10.201.1.6,DB Tier
enterprise_v3_0001::DB-CACHE-01,enterprise_v3_0001,train,DB-CACHE-01,server,app_db_topology,app_db,DB-CACHE-01,False,10.201.1.7,DB Tier
enterprise_v3_0001::DB-REPLICA-01,enterprise_v3_0001,train,DB-REPLICA-01,database,app_db_topology,app_db,DB-REPLICA-01,False,10.201.1.8,DB Tier
enterprise_v3_0001::IAM-01,enterprise_v3_0001,train,IAM-01,service,app_db_topology,app_db,IAM-01,True,,Shared Services
enterprise_v3_0001::DNS-01,enterprise_v3_0001,train,DNS-01,service,app_db_topology,app_db,DNS-01,True,,Shared Services
enterprise_v3_0001::AD-01,enterprise_v3_0001,train,AD-01,service,shared_services_topology,shared_services,AD-01,False,10.255.0.1,Identity
enterprise_v3_0001::NTP-01,enterprise_v3_0001,train,NTP-01,service,shared_services_topology,shared_services,NTP-01,False,10.255.0.4,DNS/NTP
enterprise_v3_0001::MON-01,enterprise_v3_0001,train,MON-01,service,shared_services_topology,shared_services,MON-01,False,10.255.0.5,Monitoring
enterprise_v3_0001::SYSLOG-01,enterprise_v3_0001,train,SYSLOG-01,server,shared_services_topology,shared_services,SYSLOG-01,False,10.255.0.6,Logging
enterprise_v3_0002::BR-RTR-01,enterprise_v3_0002,train,BR-RTR-01,router,branch_topology,branch,BR-RTR-01,True,10.2.1.1,Branch Edge
enterprise_v3_0002::BR-FW-01,enterprise_v3_0002,train,BR-FW-01,firewall,branch_topology,branch,BR-FW-01,False,10.2.1.2,Branch Edge
enterprise_v3_0002::BR-SW-01,enterprise_v3_0002,train,BR-SW-01,switch,branch_topology,branch,BR-SW-01,False,10.2.1.3,Branch LAN
enterprise_v3_0002::BR-APP-01,enterprise_v3_0002,train,BR-APP-01,server,branch_topology,branch,BR-APP-01,True,10.2.1.4,Branch Apps
enterprise_v3_0002::BR-WRK-01,enterprise_v3_0002,train,BR-WRK-01,server,branch_topology,branch,BR-WRK-01,False,10.2.1.5,Branch LAN
enterprise_v3_0002::BR-WRK-02,enterprise_v3_0002,train,BR-WRK-02,server,branch_topology,branch,BR-WRK-02,False,10.2.1.6,Branch LAN
enterprise_v3_0002::BR-WRK-03,enterprise_v3_0002,train,BR-WRK-03,server,branch_topology,branch,BR-WRK-03,False,10.2.1.7,Branch LAN
enterprise_v3_0002::BR-WRK-04,enterprise_v3_0002,train,BR-WRK-04,server,branch_topology,branch,BR-WRK-04,False,10.2.1.8,Branch LAN
enterprise_v3_0002::WAN-MPLS-CORE,enterprise_v3_0002,train,WAN-MPLS-CORE,cloud_or_wan,branch_topology,branch,WAN-MPLS-CORE,True,,WAN
enterprise_v3_0002::WAN-ISP-01,enterprise_v3_0002,train,WAN-ISP-01,cloud_or_wan,wan_topology,wan,WAN-ISP-01,False,172.16.2.1,Internet/ISP
enterprise_v3_0002::WAN-ISP-02,enterprise_v3_0002,train,WAN-ISP-02,cloud_or_wan,wan_topology,wan,WAN-ISP-02,False,172.16.2.2,Internet/ISP
enterprise_v3_0002::WAN-PE-01,enterprise_v3_0002,train,WAN-PE-01,router,wan_topology,wan,WAN-PE-01,False,172.16.2.4,WAN PE
enterprise_v3_0002::WAN-PE-02,enterprise_v3_0002,train,WAN-PE-02,router,wan_topology,wan,WAN-PE-02,False,172.16.2.5,WAN PE
enterprise_v3_0002::DC-RTR-01,enterprise_v3_0002,train,DC-RTR-01,router,wan_topology,wan,DC-RTR-01,True,,DC Edge
enterprise_v3_0002::DC-FW-01,enterprise_v3_0002,train,DC-FW-01,firewall,wan_topology,wan,DC-FW-01,True,,DC Edge
enterprise_v3_0002::DC-FW-02,enterprise_v3_0002,train,DC-FW-02,firewall,datacenter_topology,datacenter,DC-FW-02,False,10.102.1.2,DC Edge
enterprise_v3_0002::DC-CORE-SW-01,enterprise_v3_0002,train,DC-CORE-SW-01,switch,datacenter_topology,datacenter,DC-CORE-SW-01,True,10.102.1.4,DC Core
enterprise_v3_0002::DC-CORE-SW-02,enterprise_v3_0002,train,DC-CORE-SW-02,switch,datacenter_topology,datacenter,DC-CORE-SW-02,False,10.102.1.5,DC Core
enterprise_v3_0002::DC-AGG-SW-01,enterprise_v3_0002,train,DC-AGG-SW-01,switch,datacenter_topology,datacenter,DC-AGG-SW-01,True,10.102.1.6,DC Aggregation
enterprise_v3_0002::DC-SRV-01,enterprise_v3_0002,train,DC-SRV-01,server,datacenter_topology,datacenter,DC-SRV-01,False,10.102.1.7,DC Compute
enterprise_v3_0002::DC-SRV-02,enterprise_v3_0002,train,DC-SRV-02,server,datacenter_topology,datacenter,DC-SRV-02,False,10.102.1.8,DC Compute
enterprise_v3_0002::DC-SRV-03,enterprise_v3_0002,train,DC-SRV-03,server,datacenter_topology,datacenter,DC-SRV-03,False,10.102.1.9,DC Compute
enterprise_v3_0002::APP-LB-01,enterprise_v3_0002,train,APP-LB-01,load_balancer,app_db_topology,app_db,APP-LB-01,False,10.202.1.2,App Ingress
enterprise_v3_0002::APP-01,enterprise_v3_0002,train,APP-01,server,app_db_topology,app_db,APP-01,True,10.202.1.3,App Tier
enterprise_v3_0002::APP-02,enterprise_v3_0002,train,APP-02,server,app_db_topology,app_db,APP-02,False,10.202.1.4,App Tier
enterprise_v3_0002::SERVICE-API-01,enterprise_v3_0002,train,SERVICE-API-01,service,app_db_topology,app_db,SERVICE-API-01,False,10.202.1.5,App Tier
enterprise_v3_0002::DB-MASTER,enterprise_v3_0002,train,DB-MASTER,database,app_db_topology,app_db,DB-MASTER,False,10.202.1.6,DB Tier
enterprise_v3_0002::DB-CACHE-01,enterprise_v3_0002,train,DB-CACHE-01,server,app_db_topology,app_db,DB-CACHE-01,False,10.202.1.7,DB Tier
enterprise_v3_0002::DB-REPLICA-01,enterprise_v3_0002,train,DB-REPLICA-01,database,app_db_topology,app_db,DB-REPLICA-01,False,10.202.1.8,DB Tier
enterprise_v3_0002::IAM-01,enterprise_v3_0002,train,IAM-01,service,app_db_topology,app_db,IAM-01,True,,Shared Services
enterprise_v3_0002::DNS-01,enterprise_v3_0002,train,DNS-01,service,app_db_topology,app_db,DNS-01,True,,Shared Services
enterprise_v3_0002::AD-01,enterprise_v3_0002,train,AD-01,service,shared_services_topology,shared_services,AD-01,False,10.255.0.1,Identity
enterprise_v3_0002::NTP-01,enterprise_v3_0002,train,NTP-01,service,shared_services_topology,shared_services,NTP-01,False,10.255.0.4,DNS/NTP
enterprise_v3_0002::MON-01,enterprise_v3_0002,train,MON-01,service,shared_services_topology,shared_services,MON-01,False,10.255.0.5,Monitoring
enterprise_v3_0002::SYSLOG-01,enterprise_v3_0002,train,SYSLOG-01,server,shared_services_topology,shared_services,SYSLOG-01,False,10.255.0.6,Logging
enterprise_v3_0003::BR-RTR-01,enterprise_v3_0003,train,BR-RTR-01,router,branch_topology,branch,BR-RTR-01,True,10.3.1.1,Branch Edge
enterprise_v3_0003::BR-FW-01,enterprise_v3_0003,train,BR-FW-01,firewall,branch_topology,branch,BR-FW-01,False,10.3.1.2,Branch Edge
enterprise_v3_0003::BR-SW-01,enterprise_v3_0003,train,BR-SW-01,switch,branch_topology,branch,BR-SW-01,False,10.3.1.3,Branch LAN
enterprise_v3_0003::BR-APP-01,enterprise_v3_0003,train,BR-APP-01,server,branch_topology,branch,BR-APP-01,True,10.3.1.4,Branch Apps
enterprise_v3_0003::BR-WRK-01,enterprise_v3_0003,train,BR-WRK-01,server,branch_topology,branch,BR-WRK-01,False,10.3.1.5,Branch LAN
enterprise_v3_0003::BR-WRK-02,enterprise_v3_0003,train,BR-WRK-02,server,branch_topology,branch,BR-WRK-02,False,10.3.1.6,Branch LAN
enterprise_v3_0003::BR-WRK-03,enterprise_v3_0003,train,BR-WRK-03,server,branch_topology,branch,BR-WRK-03,False,10.3.1.7,Branch LAN
enterprise_v3_0003::BR-WRK-04,enterprise_v3_0003,train,BR-WRK-04,server,branch_topology,branch,BR-WRK-04,False,10.3.1.8,Branch LAN
enterprise_v3_0003::WAN-MPLS-CORE,enterprise_v3_0003,train,WAN-MPLS-CORE,cloud_or_wan,branch_topology,branch,WAN-MPLS-CORE,True,,WAN
enterprise_v3_0003::WAN-ISP-01,enterprise_v3_0003,train,WAN-ISP-01,cloud_or_wan,wan_topology,wan,WAN-ISP-01,False,172.16.3.1,Internet/ISP
enterprise_v3_0003::WAN-ISP-02,enterprise_v3_0003,train,WAN-ISP-02,cloud_or_wan,wan_topology,wan,WAN-ISP-02,False,172.16.3.2,Internet/ISP
enterprise_v3_0003::WAN-PE-01,enterprise_v3_0003,train,WAN-PE-01,router,wan_topology,wan,WAN-PE-01,False,172.16.3.4,WAN PE
enterprise_v3_0003::WAN-PE-02,enterprise_v3_0003,train,WAN-PE-02,router,wan_topology,wan,WAN-PE-02,False,172.16.3.5,WAN PE
enterprise_v3_0003::DC-RTR-01,enterprise_v3_0003,train,DC-RTR-01,router,wan_topology,wan,DC-RTR-01,True,,DC Edge
enterprise_v3_0003::DC-FW-01,enterprise_v3_0003,train,DC-FW-01,firewall,wan_topology,wan,DC-FW-01,True,,DC Edge
enterprise_v3_0003::DC-FW-02,enterprise_v3_0003,train,DC-FW-02,firewall,datacenter_topology,datacenter,DC-FW-02,False,10.103.1.2,DC Edge
enterprise_v3_0003::DC-CORE-SW-01,enterprise_v3_0003,train,DC-CORE-SW-01,switch,datacenter_topology,datacenter,DC-CORE-SW-01,True,10.103.1.4,DC Core
enterprise_v3_0003::DC-CORE-SW-02,enterprise_v3_0003,train,DC-CORE-SW-02,switch,datacenter_topology,datacenter,DC-CORE-SW-02,False,10.103.1.5,DC Core
enterprise_v3_0003::DC-AGG-SW-01,enterprise_v3_0003,train,DC-AGG-SW-01,switch,datacenter_topology,datacenter,DC-AGG-SW-01,True,10.103.1.6,DC Aggregation
enterprise_v3_0003::DC-SRV-01,enterprise_v3_0003,train,DC-SRV-01,server,datacenter_topology,datacenter,DC-SRV-01,False,10.103.1.7,DC Compute
enterprise_v3_0003::DC-SRV-02,enterprise_v3_0003,train,DC-SRV-02,server,datacenter_topology,datacenter,DC-SRV-02,False,10.103.1.8,DC Compute
enterprise_v3_0003::DC-SRV-03,enterprise_v3_0003,train,DC-SRV-03,server,datacenter_topology,datacenter,DC-SRV-03,False,10.103.1.9,DC Compute
enterprise_v3_0003::APP-LB-01,enterprise_v3_0003,train,APP-LB-01,load_balancer,app_db_topology,app_db,APP-LB-01,False,10.203.1.2,App Ingress
enterprise_v3_0003::APP-01,enterprise_v3_0003,train,APP-01,server,app_db_topology,app_db,APP-01,True,10.203.1.3,App Tier
enterprise_v3_0003::APP-02,enterprise_v3_0003,train,APP-02,server,app_db_topology,app_db,APP-02,False,10.203.1.4,App Tier
enterprise_v3_0003::SERVICE-API-01,enterprise_v3_0003,train,SERVICE-API-01,service,app_db_topology,app_db,SERVICE-API-01,False,10.203.1.5,App Tier
enterprise_v3_0003::DB-MASTER,enterprise_v3_0003,train,DB-MASTER,database,app_db_topology,app_db,DB-MASTER,False,10.203.1.6,DB Tier
enterprise_v3_0003::DB-CACHE-01,enterprise_v3_0003,train,DB-CACHE-01,server,app_db_topology,app_db,DB-CACHE-01,False,10.203.1.7,DB Tier
enterprise_v3_0003::DB-REPLICA-01,enterprise_v3_0003,train,DB-REPLICA-01,database,app_db_topology,app_db,DB-REPLICA-01,False,10.203.1.8,DB Tier
enterprise_v3_0003::DB-REPLICA-02,enterprise_v3_0003,train,DB-REPLICA-02,database,app_db_topology,app_db,DB-REPLICA-02,False,10.203.1.9,DB Tier
enterprise_v3_0003::IAM-01,enterprise_v3_0003,train,IAM-01,service,app_db_topology,app_db,IAM-01,True,,Shared Services
enterprise_v3_0003::DNS-01,enterprise_v3_0003,train,DNS-01,service,app_db_topology,app_db,DNS-01,True,,Shared Services
enterprise_v3_0003::AD-01,enterprise_v3_0003,train,AD-01,service,shared_services_topology,shared_services,AD-01,False,10.255.0.1,Identity
enterprise_v3_0003::NTP-01,enterprise_v3_0003,train,NTP-01,service,shared_services_topology,shared_services,NTP-01,False,10.255.0.4,DNS/NTP
enterprise_v3_0003::MON-01,enterprise_v3_0003,train,MON-01,service,shared_services_topology,shared_services,MON-01,False,10.255.0.5,Monitoring
enterprise_v3_0003::SYSLOG-01,enterprise_v3_0003,train,SYSLOG-01,server,shared_services_topology,shared_services,SYSLOG-01,False,10.255.0.6,Logging
enterprise_v3_0004::BR-RTR-01,enterprise_v3_0004,train,BR-RTR-01,router,branch_topology,branch,BR-RTR-01,True,10.4.1.1,Branch Edge
enterprise_v3_0004::BR-FW-01,enterprise_v3_0004,train,BR-FW-01,firewall,branch_topology,branch,BR-FW-01,False,10.4.1.2,Branch Edge
enterprise_v3_0004::BR-SW-01,enterprise_v3_0004,train,BR-SW-01,switch,branch_topology,branch,BR-SW-01,False,10.4.1.3,Branch LAN
enterprise_v3_0004::BR-APP-01,enterprise_v3_0004,train,BR-APP-01,server,branch_topology,branch,BR-APP-01,True,10.4.1.4,Branch Apps
enterprise_v3_0004::BR-WRK-01,enterprise_v3_0004,train,BR-WRK-01,server,branch_topology,branch,BR-WRK-01,False,10.4.1.5,Branch LAN
enterprise_v3_0004::BR-WRK-02,enterprise_v3_0004,train,BR-WRK-02,server,branch_topology,branch,BR-WRK-02,False,10.4.1.6,Branch LAN
enterprise_v3_0004::BR-WRK-03,enterprise_v3_0004,train,BR-WRK-03,server,branch_topology,branch,BR-WRK-03,False,10.4.1.7,Branch LAN
enterprise_v3_0004::BR-WRK-04,enterprise_v3_0004,train,BR-WRK-04,server,branch_topology,branch,BR-WRK-04,False,10.4.1.8,Branch LAN
enterprise_v3_0004::WAN-MPLS-CORE,enterprise_v3_0004,train,WAN-MPLS-CORE,cloud_or_wan,branch_topology,branch,WAN-MPLS-CORE,True,,WAN
enterprise_v3_0004::WAN-ISP-01,enterprise_v3_0004,train,WAN-ISP-01,cloud_or_wan,wan_topology,wan,WAN-ISP-01,False,172.16.4.1,Internet/ISP
enterprise_v3_0004::WAN-ISP-02,enterprise_v3_0004,train,WAN-ISP-02,cloud_or_wan,wan_topology,wan,WAN-ISP-02,False,172.16.4.2,Internet/ISP
enterprise_v3_0004::WAN-PE-01,enterprise_v3_0004,train,WAN-PE-01,router,wan_topology,wan,WAN-PE-01,False,172.16.4.4,WAN PE
enterprise_v3_0004::WAN-PE-02,enterprise_v3_0004,train,WAN-PE-02,router,wan_topology,wan,WAN-PE-02,False,172.16.4.5,WAN PE
enterprise_v3_0004::DC-RTR-01,enterprise_v3_0004,train,DC-RTR-01,router,wan_topology,wan,DC-RTR-01,True,,DC Edge
enterprise_v3_0004::DC-FW-01,enterprise_v3_0004,train,DC-FW-01,firewall,wan_topology,wan,DC-FW-01,True,,DC Edge
enterprise_v3_0004::DC-FW-02,enterprise_v3_0004,train,DC-FW-02,firewall,datacenter_topology,datacenter,DC-FW-02,False,10.104.1.2,DC Edge
enterprise_v3_0004::DC-CORE-SW-01,enterprise_v3_0004,train,DC-CORE-SW-01,switch,datacenter_topology,datacenter,DC-CORE-SW-01,True,10.104.1.4,DC Core
enterprise_v3_0004::DC-CORE-SW-02,enterprise_v3_0004,train,DC-CORE-SW-02,switch,datacenter_topology,datacenter,DC-CORE-SW-02,False,10.104.1.5,DC Core
enterprise_v3_0004::DC-AGG-SW-01,enterprise_v3_0004,train,DC-AGG-SW-01,switch,datacenter_topology,datacenter,DC-AGG-SW-01,True,10.104.1.6,DC Aggregation
enterprise_v3_0004::DC-SRV-01,enterprise_v3_0004,train,DC-SRV-01,server,datacenter_topology,datacenter,DC-SRV-01,False,10.104.1.7,DC Compute
enterprise_v3_0004::DC-SRV-02,enterprise_v3_0004,train,DC-SRV-02,server,datacenter_topology,datacenter,DC-SRV-02,False,10.104.1.8,DC Compute
enterprise_v3_0004::DC-SRV-03,enterprise_v3_0004,train,DC-SRV-03,server,datacenter_topology,datacenter,DC-SRV-03,False,10.104.1.9,DC Compute
enterprise_v3_0004::APP-LB-01,enterprise_v3_0004,train,APP-LB-01,load_balancer,app_db_topology,app_db,APP-LB-01,False,10.204.1.2,App Ingress
enterprise_v3_0004::APP-01,enterprise_v3_0004,train,APP-01,server,app_db_topology,app_db,APP-01,True,10.204.1.3,App Tier
enterprise_v3_0004::APP-02,enterprise_v3_0004,train,APP-02,server,app_db_topology,app_db,APP-02,False,10.204.1.4,App Tier
enterprise_v3_0004::APP-03,enterprise_v3_0004,train,APP-03,server,app_db_topology,app_db,APP-03,False,10.204.1.5,App Tier
enterprise_v3_0004::SERVICE-API-01,enterprise_v3_0004,train,SERVICE-API-01,service,app_db_topology,app_db,SERVICE-API-01,False,10.204.1.6,App Tier
enterprise_v3_0004::DB-MASTER,enterprise_v3_0004,train,DB-MASTER,database,app_db_topology,app_db,DB-MASTER,False,10.204.1.7,DB Tier
enterprise_v3_0004::DB-CACHE-01,enterprise_v3_0004,train,DB-CACHE-01,server,app_db_topology,app_db,DB-CACHE-01,False,10.204.1.8,DB Tier
enterprise_v3_0004::DB-REPLICA-01,enterprise_v3_0004,train,DB-REPLICA-01,database,app_db_topology,app_db,DB-REPLICA-01,False,10.204.1.9,DB Tier
enterprise_v3_0004::DB-REPLICA-02,enterprise_v3_0004,train,DB-REPLICA-02,database,app_db_topology,app_db,DB-REPLICA-02,False,10.204.1.10,DB Tier
enterprise_v3_0004::IAM-01,enterprise_v3_0004,train,IAM-01,service,app_db_topology,app_db,IAM-01,True,,Shared Services
enterprise_v3_0004::DNS-01,enterprise_v3_0004,train,DNS-01,service,app_db_topology,app_db,DNS-01,True,,Shared Services
enterprise_v3_0004::AD-01,enterprise_v3_0004,train,AD-01,service,shared_services_topology,shared_services,AD-01,False,10.255.0.1,Identity
enterprise_v3_0004::NTP-01,enterprise_v3_0004,train,NTP-01,service,shared_services_topology,shared_services,NTP-01,False,10.255.0.4,DNS/NTP
